pressureVal,model,term,beta,SE,z,p,CI95_lo,CI95_hi
1,BIN2,(Intercept),1.713884259,0.060758522,28.20812963,0,1.594797556,1.832970962
1,BIN2,focal_beforeEvent,0.257723713,0.068206172,3.778598144,0.000157714,0.124039617,0.391407809
1,BIN2,personalBN_focal_energy,-1.335558396,0.117458298,-11.37048992,0,-1.565776661,-1.105340131
1,BIN2,personalBN_nonfocal_energy,0.195895839,0.052924655,3.701409827,0.000214405,0.092163515,0.299628163
1,BIN2,social_energy,-0.575830873,0.069460412,-8.290058351,2.22E-16,-0.711973281,-0.439688464
1,BIN2,bn_abs_meanedge_focal,-0.110212266,0.079396674,-1.388121949,0.165099914,-0.265829746,0.045405215
1,BIN2,nr_balanced_triangles_focal,0.108405913,0.067763419,1.599770425,0.109649522,-0.024410388,0.241222214
1,BIN2,bn_avg_weighted_clustering,0.022859799,0.056416263,0.40519874,0.685331431,-0.087716077,0.133435674
2,BIN2,(Intercept),-0.324413645,0.070023578,-4.632920135,3.61E-06,-0.461659858,-0.187167432
2,BIN2,focal_beforeEvent,0.299660312,0.094223778,3.180304575,0.001471203,0.114981707,0.484338917
2,BIN2,personalBN_focal_energy,-1.099835357,0.160638241,-6.846659616,7.56E-12,-1.41468631,-0.784984405
2,BIN2,personalBN_nonfocal_energy,0.279016828,0.065850439,4.237129353,2.26E-05,0.149949968,0.408083688
2,BIN2,social_energy,0.0415938,0.069809473,0.595818844,0.551296253,-0.095232768,0.178420368
2,BIN2,bn_abs_meanedge_focal,0.097719437,0.126604636,0.771847226,0.440204917,-0.15042565,0.345864524
2,BIN2,nr_balanced_triangles_focal,0.291330672,0.085521332,3.406526359,0.000657952,0.123708861,0.458952483
2,BIN2,bn_avg_weighted_clustering,-0.06500207,0.068652088,-0.946833108,0.343723828,-0.199560162,0.069556022
4,BIN2,(Intercept),-3.504833205,0.261663163,-13.39444636,0,-4.017693005,-2.991973404
4,BIN2,focal_beforeEvent,0.196208876,0.385521033,0.508944672,0.610791007,-0.559412349,0.951830101
4,BIN2,personalBN_focal_energy,-1.874402376,0.528794639,-3.544669777,0.000393105,-2.910839868,-0.837964883
4,BIN2,personalBN_nonfocal_energy,0.4392043,0.159919112,2.746415328,0.006025044,0.125762841,0.75264576
4,BIN2,social_energy,0.156352192,0.134658355,1.161102795,0.245600098,-0.107578183,0.420282568
4,BIN2,bn_abs_meanedge_focal,-0.096760075,0.444733041,-0.217568892,0.827765025,-0.968436836,0.774916686
4,BIN2,nr_balanced_triangles_focal,0.115763016,0.222575259,0.520107295,0.602988794,-0.320484492,0.552010524
4,BIN2,bn_avg_weighted_clustering,-0.342885067,0.149545966,-2.292840634,0.021857182,-0.63599516,-0.049774974
