pressureVal,model,term,beta,SE,z,p,CI95_lo,CI95_hi
1,BIN2,(Intercept),1.633306409,0.053924998,30.2884837,0,1.527613414,1.738999404
1,BIN2,focal_beforeEvent,-0.341295005,0.050063243,-6.817277166,9.28E-12,-0.439418962,-0.243171048
1,BIN2,n_neighbours,-0.022416599,0.050883248,-0.440549683,0.659539037,-0.122147765,0.077314568
1,BIN2,bn_abs_meanedge_focal,0.350890585,0.056993978,6.156625623,7.43E-10,0.239182388,0.462598782
1,BIN2,nr_balanced_triangles_focal,0.464728404,0.056898275,8.167706359,2.22E-16,0.353207785,0.576249023
1,BIN2,bn_avg_weighted_clustering,-0.011166909,0.054190055,-0.206069336,0.836736751,-0.117379417,0.095045599
2,BIN2,(Intercept),-0.441230211,0.073859996,-5.973872641,2.32E-09,-0.585995804,-0.296464619
2,BIN2,focal_beforeEvent,-0.107354612,0.073739657,-1.45585994,0.145431342,-0.251884339,0.037175115
2,BIN2,n_neighbours,-0.40758044,0.06916977,-5.892464858,3.80E-09,-0.543153189,-0.27200769
2,BIN2,bn_abs_meanedge_focal,0.826626389,0.069377741,11.91486462,0,0.690646017,0.962606761
2,BIN2,nr_balanced_triangles_focal,0.590738089,0.07402328,7.980436584,1.55E-15,0.445652461,0.735823717
2,BIN2,bn_avg_weighted_clustering,-0.074961748,0.06732451,-1.113439194,0.26551985,-0.206917787,0.056994291
4,BIN2,(Intercept),-4.31830736,0.338634687,-12.75211173,0,-4.982031346,-3.654583374
4,BIN2,focal_beforeEvent,-0.839430513,0.343743004,-2.442029371,0.014604958,-1.513166801,-0.165694224
4,BIN2,n_neighbours,-0.995934608,0.175239045,-5.68329169,1.32E-08,-1.339403137,-0.65246608
4,BIN2,bn_abs_meanedge_focal,1.399250039,0.139734792,10.01361236,0,1.125369847,1.673130232
4,BIN2,nr_balanced_triangles_focal,0.651194494,0.185579932,3.508970433,0.000449845,0.287457828,1.014931161
4,BIN2,bn_avg_weighted_clustering,-0.35247999,0.15139493,-2.32821529,0.019900675,-0.649214053,-0.055745928
